dimension,group_kind,group,family,row_count,status,macro_f1,balanced_accuracy,all_classes_present,macro_supported,down_recall_supported,down_precision_supported,down_recall,down_precision,down_false_negatives,predicted_down,macro_alert,down_recall_alert,support_down,interpretable_down,precision_down,recall_down,f1_down,support_stable,interpretable_stable,precision_stable,recall_stable,f1_stable,support_up,interpretable_up,precision_up,recall_up,f1_up,support_new,interpretable_new,precision_new,recall_new,f1_new,support_flat,interpretable_flat,precision_flat,recall_flat,f1_flat
content_type,category,category_01,logistic_regression,5826,published,0.3900041470754444,0.472116625714271,True,True,True,True,0.7672727272727272,0.678654970760234,704,3420,False,False,3025,True,0.678654970760234,0.7672727272727272,0.7202482544608223,1262,True,0.3719958202716823,0.2820919175911252,0.32086525461919785,863,True,0.351875808538163,0.31517960602549244,0.33251833740831294,410,True,0.5,0.007317073170731708,0.014423076923076924,266,True,0.3925373134328358,0.9887218045112782,0.561965811965812
content_type,category,category_01,random_forest,5826,published,0.4306348250967288,0.43768159357296127,True,True,True,True,0.8638016528925619,0.6278231619413743,412,4162,False,False,3025,True,0.6278231619413743,0.8638016528925619,0.7271462362599137,1262,True,0.3253424657534247,0.15055467511885895,0.20585048754062837,863,True,0.39851485148514854,0.186558516801854,0.2541436464088398,410,True,0.6,0.45365853658536587,0.5166666666666667,266,True,0.3879781420765027,0.5338345864661654,0.44936708860759494
main_intent,category,category_01,logistic_regression,4160,published,0.3916426234705209,0.4728723976783664,True,True,True,True,0.7814423922603342,0.6927875243664717,497,2565,False,False,2274,True,0.6927875243664717,0.7814423922603342,0.7344492663773506,897,True,0.35809806835066865,0.2686733556298774,0.3070063694267516,648,True,0.3614457831325301,0.32407407407407407,0.3417412530512612,205,True,0.3333333333333333,0.004878048780487805,0.009615384615384616,136,True,0.39644970414201186,0.9852941176470589,0.5654008438818565
main_intent,category,category_01,random_forest,4160,published,0.4167943051249898,0.4296241650803502,True,True,True,True,0.8843447669305189,0.6349857909693717,263,3167,False,False,2274,True,0.6349857909693717,0.8843447669305189,0.73920235250873,897,True,0.2777777777777778,0.11148272017837235,0.15910898965791567,648,True,0.4075342465753425,0.18364197530864199,0.2531914893617021,205,True,0.5827338129496403,0.3951219512195122,0.47093023255813954,136,True,0.38613861386138615,0.5735294117647058,0.46153846153846156
main_intent,category,category_02,logistic_regression,945,published,0.37403206052360816,0.45021343666616154,True,True,True,True,0.737885462555066,0.6261682242990654,119,535,False,False,454,True,0.6261682242990654,0.737885462555066,0.6774519716885743,204,True,0.35064935064935066,0.2647058823529412,0.3016759776536313,136,True,0.3142857142857143,0.2426470588235294,0.27385892116182575,90,True,0.6666666666666666,0.022222222222222223,0.043010752688172046,61,True,0.40540540540540543,0.9836065573770492,0.5741626794258373
main_intent,category,category_02,random_forest,945,published,0.4332604523664128,0.4355654583636011,True,True,True,True,0.8370044052863436,0.6031746031746031,74,630,False,False,454,True,0.6031746031746031,0.8370044052863436,0.7011070110701108,204,True,0.4090909090909091,0.22058823529411764,0.28662420382165604,136,True,0.4074074074074074,0.16176470588235295,0.23157894736842105,90,True,0.5753424657534246,0.4666666666666667,0.5153374233128835,61,True,0.38461538461538464,0.4918032786885246,0.4316546762589928
main_intent,category,category_03,logistic_regression,664,published,0.396629892295527,0.49083025522415535,True,True,True,True,0.6796875,0.6304347826086957,82,276,False,False,256,True,0.6304347826086957,0.6796875,0.6541353383458647,153,True,0.47058823529411764,0.3660130718954248,0.4117647058823529,71,True,0.3411764705882353,0.4084507042253521,0.3717948717948718,115,True,0.0,0.0,0.0,69,True,0.375,1.0,0.5454545454545454
main_intent,category,category_03,random_forest,664,published,0.4649907956667418,0.46550246911634624,True,True,True,True,0.73828125,0.590625,67,320,False,False,256,True,0.590625,0.73828125,0.65625,153,True,0.39814814814814814,0.28104575163398693,0.32950191570881227,71,True,0.36538461538461536,0.2676056338028169,0.3089430894308943,115,True,0.6428571428571429,0.5478260869565217,0.5915492957746479,69,True,0.3953488372093023,0.4927536231884058,0.43870967741935485
age_tier,category,category_01,logistic_regression,2945,published,0.3483578156056663,0.4342794269960451,True,True,True,True,0.7805044308111793,0.6771141336487285,322,1691,False,False,1467,True,0.6771141336487285,0.7805044308111793,0.7251424952501583,618,True,0.4,0.3268608414239482,0.3597506678539626,238,True,0.14173228346456693,0.07563025210084033,0.09863013698630137,384,True,0.3333333333333333,0.005208333333333333,0.010256410256410256,238,True,0.37987012987012986,0.9831932773109243,0.5480093676814989
age_tier,category,category_01,random_forest,2945,published,0.39419480355733705,0.4062851214105274,True,True,True,True,0.8813905930470347,0.6468234117058529,174,1999,False,False,1467,True,0.6468234117058529,0.8813905930470347,0.7461050201961916,618,True,0.3916349809885932,0.16666666666666666,0.23382519863791146,238,True,0.13114754098360656,0.03361344537815126,0.05351170568561873,384,True,0.5935483870967742,0.4791666666666667,0.5302593659942363,238,True,0.358974358974359,0.47058823529411764,0.4072727272727273
age_tier,category,category_02,logistic_regression,2083,published,0.4099359775606451,0.4329789189240031,True,False,True,True,0.8651515151515151,0.687537627934979,178,1661,False,False,1320,True,0.687537627934979,0.8651515151515151,0.7661858436766186,433,True,0.4134078212290503,0.17090069284064666,0.24183006535947713,289,True,0.18811881188118812,0.1314878892733564,0.15478615071283094,14,False,0.3333333333333333,0.07142857142857142,0.11764705882352941,27,True,0.6578947368421053,0.9259259259259259,0.7692307692307693
age_tier,category,category_02,random_forest,2083,published,0.42010234256852924,0.44482119593077984,True,False,True,True,0.9393939393939394,0.6663084363245567,80,1861,False,False,1320,True,0.6663084363245567,0.9393939393939394,0.7796290474693492,433,True,0.44329896907216493,0.09930715935334873,0.16226415094339622,289,True,0.27380952380952384,0.07958477508650519,0.12332439678284182,14,False,0.6666666666666666,0.14285714285714285,0.23529411764705882,27,True,0.6842105263157895,0.9629629629629629,0.8
age_tier,category,category_03,logistic_regression,772,published,0.29156883060738076,0.4285620345699256,True,False,True,True,0.09821428571428571,0.4782608695652174,202,46,False,True,224,True,0.4782608695652174,0.09821428571428571,0.16296296296296298,204,True,0.29411764705882354,0.39215686274509803,0.33613445378151263,328,True,0.4885844748858447,0.6524390243902439,0.5587467362924282,12,False,0.0,0.0,0.0,4,False,0.25,1.0,0.4
age_tier,category,category_03,random_forest,772,published,0.25887977078069024,0.3770013493202159,True,False,True,True,0.27232142857142855,0.22592592592592592,163,270,False,True,224,True,0.22592592592592592,0.27232142857142855,0.24696356275303644,204,True,0.19827586206896552,0.22549019607843138,0.21100917431192662,328,True,0.5,0.3871951219512195,0.436426116838488,12,False,0.0,0.0,0.0,4,False,0.25,1.0,0.4
freshness_tier,category,category_01,logistic_regression,3051,published,0.39097806199494384,0.4337744416569939,True,False,True,True,0.823799795709908,0.6869676320272572,345,2348,False,False,1958,True,0.6869676320272572,0.823799795709908,0.7491871806781235,760,True,0.3929824561403509,0.29473684210526313,0.3368421052631579,298,True,0.15306122448979592,0.050335570469798654,0.07575757575757576,12,False,0.0,0.0,0.0,23,True,0.6571428571428571,1.0,0.7931034482758621
freshness_tier,category,category_01,random_forest,3051,published,0.36057842840036736,0.41534699548880427,True,False,True,True,0.9152196118488254,0.6617429837518464,166,2708,False,False,1958,True,0.6617429837518464,0.9152196118488254,0.768109729961423,760,True,0.38596491228070173,0.14473684210526316,0.21052631578947367,298,True,0.21739130434782608,0.016778523489932886,0.03115264797507788,12,False,0.0,0.0,0.0,23,True,0.6571428571428571,1.0,0.7931034482758621
freshness_tier,category,category_02,logistic_regression,2791,published,0.38812073069903613,0.47437437553850287,True,True,True,True,0.6716279069767442,0.6623853211009174,353,1090,False,False,1075,True,0.6623853211009174,0.6716279069767442,0.6669745958429562,502,True,0.34203655352480417,0.26095617529880477,0.296045197740113,570,True,0.3857566765578635,0.45614035087719296,0.4180064308681672,398,True,0.3333333333333333,0.007537688442211055,0.014742014742014743,246,True,0.3779527559055118,0.975609756097561,0.5448354143019296
freshness_tier,category,category_02,random_forest,2791,published,0.42404245422554576,0.4314182866029774,True,True,True,True,0.7637209302325582,0.5646492434662999,254,1454,False,False,1075,True,0.5646492434662999,0.7637209302325582,0.6492684855674179,502,True,0.2679738562091503,0.16334661354581673,0.20297029702970298,570,True,0.4108527131782946,0.2789473684210526,0.3322884012539185,398,True,0.5942492012779552,0.46733668341708545,0.5232067510548524,246,True,0.3595166163141994,0.483739837398374,0.4124783362218371
previous_impressions_bucket,bin,"(0,100]",logistic_regression,1167,published,0.25572957066418034,0.45213394036184756,False,False,True,True,0.5304054054054054,0.7529976019184652,278,417,False,False,592,True,0.7529976019184652,0.5304054054054054,0.622398414271556,229,True,0.24545454545454545,0.11790393013100436,0.1592920353982301,346,True,0.3828125,0.708092485549133,0.4969574036511156,0,False,0.0,0.0,0.0,0,False,0.0,0.0,0.0
previous_impressions_bucket,bin,"(0,100]",random_forest,1167,published,0.24034242034242034,0.406962715296259,False,False,True,True,0.6824324324324325,0.6047904191616766,188,668,False,False,592,True,0.6047904191616766,0.6824324324324325,0.6412698412698413,229,True,0.19858156028368795,0.1222707423580786,0.15135135135135136,346,True,0.4022346368715084,0.4161849710982659,0.4090909090909091,0,False,0.0,0.0,0.0,0,False,0.0,0.0,0.0
previous_impressions_bucket,bin,"(100,1000]",logistic_regression,1908,published,0.22793720294990955,0.3864203137290565,False,False,True,True,0.8831814415907208,0.6815856777493606,141,1564,False,False,1207,True,0.6815856777493606,0.8831814415907208,0.7693973294839408,413,True,0.3463414634146341,0.17191283292978207,0.2297734627831715,288,True,0.2158273381294964,0.10416666666666667,0.1405152224824356,0,False,0.0,0.0,0.0,0,False,0.0,0.0,0.0
previous_impressions_bucket,bin,"(100,1000]",random_forest,1908,published,0.20438588740105162,0.36377324961177276,False,False,True,True,0.9254349627174814,0.6547479484173505,90,1706,False,False,1207,True,0.6547479484173505,0.9254349627174814,0.7669069687607277,413,True,0.30128205128205127,0.11380145278450363,0.16520210896309315,288,True,0.32608695652173914,0.052083333333333336,0.08982035928143713,0,False,0.0,0.0,0.0,0,False,0.0,0.0,0.0
previous_impressions_bucket,bin,>1000,logistic_regression,2103,published,0.22319226196214528,0.3945343707628803,False,False,True,True,0.7694779116465863,0.6557152635181382,287,1461,False,False,1245,True,0.6557152635181382,0.7694779116465863,0.7080561714708056,623,True,0.40186915887850466,0.41412520064205455,0.4079051383399209,235,True,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0,False,0.0,0.0,0.0
previous_impressions_bucket,bin,>1000,random_forest,2103,published,0.20384138670368107,0.36447163607471106,False,False,True,True,0.8843373493975903,0.6116666666666667,144,1800,False,False,1245,True,0.6116666666666667,0.8843373493975903,0.723152709359606,623,True,0.39661016949152544,0.18780096308186195,0.2549019607843137,235,True,0.625,0.02127659574468085,0.0411522633744856,0,False,0.0,0.0,0.0,0,False,0.0,0.0,0.0
previous_impressions_bucket,bin,zero,logistic_regression,679,published,0.11489804062108422,0.49250612022848855,False,False,False,False,,,0,0,False,False,0,False,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0,False,0.0,0.0,0.0,410,True,0.3333333333333333,0.007317073170731708,0.014319809069212411,269,True,0.3925373134328358,0.9776951672862454,0.5601703940362087
previous_impressions_bucket,bin,zero,random_forest,679,published,0.1923533832129905,0.49076978873877963,False,False,False,False,,,0,0,False,False,0,False,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0,False,0.0,0.0,0.0,410,True,0.5942492012779552,0.45365853658536587,0.5145228215767634,269,True,0.3879781420765027,0.5278810408921933,0.44724409448818897
numeric_missingness_bucket,bin,0,logistic_regression,5265,published,0.37410083271895667,0.45478975748684747,True,True,True,True,0.809792180345192,0.6779710999705102,540,3391,False,False,2839,True,0.6779710999705102,0.809792180345192,0.7380417335473515,1143,True,0.4108843537414966,0.2642169728783902,0.32161874334398294,623,True,0.2651356993736952,0.20385232744783308,0.23049001814882034,398,True,0.5,0.007537688442211055,0.01485148514851485,262,True,0.39602446483180426,0.9885496183206107,0.5655021834061136
numeric_missingness_bucket,bin,0,random_forest,5265,published,0.40199845466115114,0.4182976474948843,True,True,True,True,0.9126452976400141,0.6321053915589168,248,4099,False,False,2839,True,0.6321053915589168,0.9126452976400141,0.7469011242432978,1143,True,0.41292134831460675,0.12860892388451445,0.1961307538358906,623,True,0.23333333333333334,0.056179775280898875,0.09055627425614489,398,True,0.6,0.46733668341708545,0.5254237288135594,262,True,0.3942857142857143,0.5267175572519084,0.45098039215686275
numeric_missingness_bucket,bin,1-2,logistic_regression,463,published,0.2626845412148959,0.43248118279569886,True,False,True,False,0.09032258064516129,,141,17,False,True,155,True,0.8235294117647058,0.09032258064516129,0.16279069767441862,96,True,0.23163841807909605,0.4270833333333333,0.30036630036630035,200,True,0.5019455252918288,0.645,0.5645514223194749,10,False,0.0,0.0,0.0,2,False,0.16666666666666666,1.0,0.2857142857142857
numeric_missingness_bucket,bin,1-2,random_forest,463,published,0.22899841265527998,0.3961532258064516,True,False,True,False,0.06451612903225806,,145,28,False,True,155,True,0.35714285714285715,0.06451612903225806,0.1092896174863388,96,True,0.18309859154929578,0.40625,0.2524271844660194,200,True,0.4857142857142857,0.51,0.4975609756097561,10,False,0.0,0.0,0.0,2,False,0.16666666666666666,1.0,0.2857142857142857
numeric_missingness_bucket,bin,>=3,logistic_regression,129,published,0.3665692029831925,0.3626086956521739,True,False,True,True,0.5,0.7352941176470589,25,34,False,False,50,True,0.7352941176470589,0.5,0.5952380952380952,26,True,0.28888888888888886,0.5,0.36619718309859156,46,True,0.4418604651162791,0.41304347826086957,0.42696629213483145,2,False,0.0,0.0,0.0,5,False,0.5,0.4,0.4444444444444444
numeric_missingness_bucket,bin,>=3,random_forest,129,published,0.33467050050260655,0.3275451505016723,True,False,True,True,0.42,0.44680851063829785,29,47,False,True,50,True,0.44680851063829785,0.42,0.4329896907216495,26,True,0.2608695652173913,0.23076923076923078,0.24489795918367346,46,True,0.5192307692307693,0.5869565217391305,0.5510204081632653,2,False,0.0,0.0,0.0,5,False,0.5,0.4,0.4444444444444444
