strategy,seed,fit_seconds,prediction_seconds,macro_f1,weighted_f1,accuracy,balanced_accuracy,down_false_negatives,down_recall
most_frequent,,0.004087200002686586,0.00010399999882793054,0.13679361869452872,0.3554718928684868,0.5197199931705652,0.2,0,1.0
stratified,42.0,0.003980200002843048,0.0012960999956703745,0.2080240801839559,0.3627057055072333,0.37032610551476863,0.20845698597496734,1311,0.5693166885676741
stratified,43.0,0.0039553000024170615,0.0014933999991626479,0.19363672054346576,0.34248162326499404,0.34522793238859484,0.19397581003315478,1447,0.5246386333771353
stratified,44.0,0.004207900004985277,0.0011555000019143336,0.19541722378036513,0.3496445721493836,0.3547891411985658,0.19574345895366077,1363,0.5522339027595269
stratified,45.0,0.0039596000060555525,0.0012233000015839934,0.19538199825003164,0.3547837967911921,0.36127710431961757,0.19618321083835782,1329,0.5634034165571616
stratified,46.0,0.004063299995323177,0.001344999996945262,0.1927529795437942,0.34086056443422774,0.3455694041318081,0.19304930163833803,1397,0.5410643889618922
